daa-Speech	daa@	00:00:00.270	0.27	00:00:01.430	1.43	00:00:01.160	1.16	И мне показалось,
daa-Speech	daa@	00:00:01.470	1.47	00:00:03.770	3.77	00:00:02.300	2.3	что вот она сейчас разобъется о барьер
daa-Speech	daa@	00:00:03.990	3.99	00:00:05.540	5.54	00:00:01.550	1.55	Я вдруг очень испугался
daa-Speech	daa@	00:00:05.680	5.68	00:00:07.000	7.0	00:00:01.320	1.32	 и вскочил на ноги,
daa-Speech	daa@	00:00:07.050	7.05	00:00:10.010	10.01	00:00:02.960	2.96	и хотел бежать к ней, чтобы подхватить ее и спасти,
daa-Speech	daa@	00:00:10.305	10.305	00:00:13.120	13.12	00:00:02.815	2.815	но девочка вдруг остановилась как вкопанная,
daa-Speech	daa@	00:00:13.300	13.3	00:00:15.330	15.33	00:00:02.030	2.03	раскинула свои длинные руки,
daa-Speech	daa@	00:00:15.590	15.59	00:00:17.000	17.0	00:00:01.410	1.41	оркестр за'молк,
daa-Speech	daa@	00:00:18.400	18.4	00:00:19.000	19.0	00:00:00.600	0.6	замо'лк
daa-Speech	daa@	00:00:19.400	19.4	00:00:21.090	21.09	00:00:01.690	1.69	и она стояла и улыбалась.
daa-Speech	daa@	00:00:21.940	21.94	00:00:25.020	25.02	00:00:03.080	3.08	И все захлопали изо всех сил и даже застучали ногами.
daa-Speech	daa@	00:00:25.330	25.33	00:00:28.070	28.07	00:00:02.740	2.74	И в эту минуту эта девочка посмотрела на меня, 
daa-Speech	daa@	00:00:28.180	28.18	00:00:33.050	33.05	00:00:04.870	4.87	и я увидел, что она увидела, что я ее вижу и что я тоже вижу, что она
